,order_id,quantity,item_name,choice_description,item_price,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,total_cost
11,6,1,chicken crispy tacos,Roasted Chili Corn Salsa  Fajita Vegetables  Rice  Black Beans  Cheese  Sour Cream,8.75,Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream,Not Specified,Not Specified,Not Specified,Not Specified,8.75
12,6,1,chicken soft tacos,Roasted Chili Corn Salsa  Rice  Black Beans  Cheese  Sour Cream,8.75,Roasted Chili Corn Salsa, Rice, Black Beans, Cheese, Sour Cream,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,8.75
13,7,1,chicken bowl,Fresh Tomato Salsa  Fajita Vegetables  Rice  Cheese  Sour Cream  Guacamole,11.25,Fresh Tomato Salsa, Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole,Not Specified,Not Specified,Not Specified,Not Specified,11.25
14,7,1,chips and guacamole,none,4.45,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,4.45
15,8,1,chips and tomatillo-green chili salsa,none,2.39,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2.39
16,8,1,chicken burrito,Tomatillo-Green Chili Salsa  Medium   Pinto Beans  Cheese  Sour Cream,8.49,Tomatillo-Green Chili Salsa (Medium), Pinto Beans, Cheese, Sour Cream,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,8.49
17,9,1,chicken burrito,Fresh Tomato Salsa  Mild   Black Beans  Rice  Cheese  Sour Cream  Lettuce,8.49,Fresh Tomato Salsa (Mild), Black Beans, Rice, Cheese, Sour Cream, Lettuce,Not Specified,Not Specified,Not Specified,Not Specified,8.49
18,9,2,canned soda,Sprite,2.18,Sprite,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,4.36
19,10,1,chicken bowl,Tomatillo Red Chili Salsa  Fajita Vegetables  Black Beans  Sour Cream  Cheese  Lettuce,8.75,Tomatillo Red Chili Salsa, Fajita Vegetables, Black Beans, Sour Cream, Cheese, Lettuce,Not Specified,Not Specified,Not Specified,Not Specified,8.75
20,10,1,chips and guacamole,none,4.45,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,4.45
21,11,1,barbacoa burrito,Fresh Tomato Salsa  Mild   Tomatillo-Green Chili Salsa  Medium   Tomatillo-Red Chili Salsa  Hot   Rice  Cheese  Sour Cream  Lettuce,8.99,Fresh Tomato Salsa (Mild), Tomatillo-Green Chili Salsa (Medium), Tomatillo-Red Chili Salsa (Hot), Rice, Cheese, Sour Cream, Lettuce,Not Specified,Not Specified,Not Specified,8.99
22,11,1,nantucket nectar,Pomegranate Cherry,3.39,Pomegranate Cherry,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,3.39
23,12,1,chicken burrito,Tomatillo-Green Chili Salsa  Medium   Tomatillo-Red Chili Salsa  Hot   Pinto Beans  Rice  Cheese  Sour Cream  Guacamole  Lettuce,10.98,Tomatillo-Green Chili Salsa (Medium), Tomatillo-Red Chili Salsa (Hot), Pinto Beans, Rice, Cheese, Sour Cream, Guacamole, Lettuce,Not Specified,Not Specified,10.98
24,12,1,izze,Grapefruit,3.39,Grapefruit,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,3.39
25,13,1,chips and fresh tomato salsa,none,2.39,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2.39
26,13,1,chicken bowl,Roasted Chili Corn Salsa  Medium   Pinto Beans  Rice  Fajita Veggies  Cheese  Sour Cream  Lettuce,8.49,Roasted Chili Corn Salsa (Medium), Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce,Not Specified,Not Specified,Not Specified,8.49
27,14,1,carnitas burrito,Tomatillo-Green Chili Salsa  Medium   Roasted Chili Corn Salsa  Medium   Black Beans  Rice  Sour Cream  Lettuce,8.99,Tomatillo-Green Chili Salsa (Medium), Roasted Chili Corn Salsa (Medium), Black Beans, Rice, Sour Cream, Lettuce,Not Specified,Not Specified,Not Specified,Not Specified,8.99
28,14,1,canned soda,Dr  Pepper,1.09,Dr. Pepper,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1.09
29,15,1,chicken burrito,Tomatillo-Green Chili Salsa  Medium   Pinto Beans  Rice  Cheese  Sour Cream,8.49,Tomatillo-Green Chili Salsa (Medium), Pinto Beans, Rice, Cheese, Sour Cream,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,8.49
30,15,1,chips and tomatillo-green chili salsa,none,2.39,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2.39
31,16,1,steak burrito,Roasted Chili Corn Salsa  Medium   Fresh Tomato Salsa  Mild   Rice  Black Beans  Sour Cream,8.99,Roasted Chili Corn Salsa (Medium), Fresh Tomato Salsa (Mild), Rice, Black Beans, Sour Cream,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,8.99
32,16,1,side of chips,none,1.69,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1.69
33,17,1,carnitas bowl,Tomatillo-Red Chili Salsa  Hot   Black Beans  Rice  Fajita Veggies  Cheese  Sour Cream  Lettuce,8.99,Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce,Not Specified,Not Specified,Not Specified,8.99
34,17,1,bottled water,none,1.09,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1.09
35,18,1,chicken soft tacos,Roasted Chili Corn Salsa  Rice,8.75,Roasted Chili Corn Salsa, Rice,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,8.75
36,18,1,chicken soft tacos,Roasted Chili Corn Salsa  Cheese  Lettuce,8.75,Roasted Chili Corn Salsa, Cheese, Lettuce,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,8.75
37,18,1,chips and guacamole,none,4.45,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,4.45
38,18,1,chips and tomatillo green chili salsa,none,2.95,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2.95
39,19,1,barbacoa bowl,Roasted Chili Corn Salsa  Fajita Vegetables  Rice  Black Beans  Cheese  Sour Cream  Guacamole  Lettuce,11.75,Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce,Not Specified,Not Specified,11.75
40,19,1,chips,none,2.15,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2.15
41,20,1,chips and guacamole,none,4.45,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,4.45
42,20,1,chicken bowl,Roasted Chili Corn Salsa  Rice  Black Beans  Cheese  Sour Cream  Guacamole  Lettuce,11.25,Roasted Chili Corn Salsa, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce,Not Specified,Not Specified,Not Specified,11.25
43,20,1,steak burrito,Fresh Tomato Salsa  Rice  Pinto Beans  Cheese  Sour Cream  Guacamole  Lettuce,11.75,Fresh Tomato Salsa, Rice, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce,Not Specified,Not Specified,Not Specified,11.75
44,20,1,chicken salad bowl,Fresh Tomato Salsa  Fajita Vegetables  Pinto Beans  Lettuce,8.75,Fresh Tomato Salsa, Fajita Vegetables, Pinto Beans, Lettuce,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,8.75
45,21,1,chicken burrito,Tomatillo-Red Chili Salsa  Hot   Black Beans  Fajita Veggies  Cheese  Sour Cream  Guacamole  Lettuce,10.98,Tomatillo-Red Chili Salsa (Hot), Black Beans, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce,Not Specified,Not Specified,Not Specified,10.98
46,21,1,steak burrito,Tomatillo-Red Chili Salsa  Hot   Rice  Fajita Veggies  Cheese,8.99,Tomatillo-Red Chili Salsa (Hot), Rice, Fajita Veggies, Cheese,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,8.99
47,21,1,izze,Blackberry,3.39,Blackberry,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,3.39
48,22,1,steak burrito,Fresh Tomato Salsa  Mild   Roasted Chili Corn Salsa  Medium   Tomatillo-Red Chili Salsa  Hot   Black Beans  Rice  Sour Cream,8.99,Fresh Tomato Salsa (Mild), Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Sour Cream,Not Specified,Not Specified,Not Specified,Not Specified,8.99
49,22,1,chips and guacamole,none,3.99,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,3.99
50,23,1,steak burrito,Roasted Chili Corn Salsa  Medium   Rice  Fajita Veggies  Cheese  Sour Cream  Lettuce,8.99,Roasted Chili Corn Salsa (Medium), Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce,Not Specified,Not Specified,Not Specified,Not Specified,8.99
51,23,2,canned soda,Mountain Dew,2.18,Mountain Dew,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,4.36
52,24,1,chicken burrito,Roasted Chili Corn Salsa  Medium   Black Beans  Rice  Fajita Veggies  Cheese  Sour Cream  Guacamole  Lettuce,10.98,Roasted Chili Corn Salsa (Medium), Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce,Not Specified,Not Specified,10.98
53,24,1,canned soda,Sprite,1.09,Sprite,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1.09
54,25,1,steak bowl,Fresh Tomato Salsa  Mild   Black Beans  Rice  Fajita Veggies  Cheese  Sour Cream,8.99,Fresh Tomato Salsa (Mild), Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream,Not Specified,Not Specified,Not Specified,Not Specified,8.99
55,25,1,chips and fresh tomato salsa,none,2.39,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2.39
56,26,1,barbacoa soft tacos,Fresh Tomato Salsa  Fajita Vegetables  Black Beans  Lettuce,9.25,Fresh Tomato Salsa, Fajita Vegetables, Black Beans, Lettuce,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,9.25
57,26,1,veggie burrito,Tomatillo Red Chili Salsa  Fajita Vegetables  Rice  Black Beans  Cheese  Sour Cream  Guacamole  Lettuce,11.25,Tomatillo Red Chili Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce,Not Specified,Not Specified,11.25
58,27,1,barbacoa bowl,Roasted Chili Corn Salsa  Fajita Vegetables  Rice  Black Beans  Cheese  Sour Cream  Guacamole  Lettuce,11.75,Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce,Not Specified,Not Specified,11.75
59,27,1,chips,none,2.15,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2.15
60,28,1,chips and guacamole,none,4.45,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,4.45
61,28,1,steak soft tacos,Fresh Tomato Salsa  Cheese,9.25,Fresh Tomato Salsa, Cheese,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,9.25
62,28,1,veggie bowl,Fresh Tomato Salsa  Fajita Vegetables  Rice  Black Beans  Cheese  Sour Cream  Guacamole  Lettuce,11.25,Fresh Tomato Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce,Not Specified,Not Specified,11.25
63,28,1,chicken burrito,Fresh Tomato Salsa  Rice  Black Beans  Cheese,8.75,Fresh Tomato Salsa, Rice, Black Beans, Cheese,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,8.75
64,29,1,steak burrito,Tomatillo-Red Chili Salsa  Hot   Black Beans  Rice  Fajita Veggies  Cheese  Sour Cream  Lettuce,8.99,Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce,Not Specified,Not Specified,Not Specified,8.99
65,29,1,steak soft tacos,Tomatillo-Red Chili Salsa  Hot   Rice  Cheese  Sour Cream  Lettuce,8.99,Tomatillo-Red Chili Salsa (Hot), Rice, Cheese, Sour Cream, Lettuce,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,8.99
66,30,1,izze,Blackberry,3.39,Blackberry,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,3.39
67,30,1,steak burrito,Tomatillo-Red Chili Salsa  Hot   Rice  Cheese,8.99,Tomatillo-Red Chili Salsa (Hot), Rice, Cheese,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,8.99
68,30,1,chicken burrito,Tomatillo-Red Chili Salsa  Hot   Black Beans  Fajita Veggies  Cheese  Sour Cream  Guacamole  Lettuce,10.98,Tomatillo-Red Chili Salsa (Hot), Black Beans, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce,Not Specified,Not Specified,Not Specified,10.98
69,31,1,steak burrito,Roasted Chili Corn Salsa  Medium   Rice  Black Beans  Sour Cream,8.99,Roasted Chili Corn Salsa (Medium), Rice, Black Beans, Sour Cream,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,8.99
70,31,1,side of chips,none,1.69,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1.69
71,32,1,steak burrito,Tomatillo-Red Chili Salsa  Hot   Black Beans  Rice  Cheese  Sour Cream  Lettuce,8.99,Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Cheese, Sour Cream, Lettuce,Not Specified,Not Specified,Not Specified,Not Specified,8.99
72,32,1,chips and guacamole,none,3.99,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,3.99
73,33,1,chicken burrito,Tomatillo Red Chili Salsa  Rice  Black Beans  Cheese  Sour Cream,8.75,Tomatillo Red Chili Salsa, Rice, Black Beans, Cheese, Sour Cream,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,8.75
74,33,1,chips and guacamole,none,4.45,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,4.45
75,34,1,chicken soft tacos,Tomatillo Red Chili Salsa  Rice  Cheese  Sour Cream  Lettuce,8.75,Tomatillo Red Chili Salsa, Rice, Cheese, Sour Cream, Lettuce,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,8.75
76,34,1,chicken bowl,Fresh Tomato Salsa  Rice  Black Beans  Pinto Beans  Cheese  Lettuce,8.75,Fresh Tomato Salsa, Rice, Black Beans, Pinto Beans, Cheese, Lettuce,Not Specified,Not Specified,Not Specified,Not Specified,8.75
77,34,1,chips,none,2.15,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2.15
78,34,1,chicken bowl,Fresh Tomato Salsa  Rice  Black Beans  Cheese  Sour Cream  Lettuce,8.75,Fresh Tomato Salsa, Rice, Black Beans, Cheese, Sour Cream, Lettuce,Not Specified,Not Specified,Not Specified,Not Specified,8.75
79,35,1,chicken soft tacos,Roasted Chili Corn Salsa  Rice  Cheese  Lettuce  Guacamole,11.25,Roasted Chili Corn Salsa, Rice, Cheese, Lettuce, Guacamole,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,11.25
80,35,1,chips,none,2.15,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2.15
81,36,1,barbacoa burrito,Fresh Tomato Salsa  Rice  Pinto Beans  Cheese  Sour Cream  Lettuce,9.25,Fresh Tomato Salsa, Rice, Pinto Beans, Cheese, Sour Cream, Lettuce,Not Specified,Not Specified,Not Specified,Not Specified,9.25
82,36,1,chicken burrito,Fresh Tomato Salsa  Rice  Black Beans  Cheese  Sour Cream  Lettuce,8.75,Fresh Tomato Salsa, Rice, Black Beans, Cheese, Sour Cream, Lettuce,Not Specified,Not Specified,Not Specified,Not Specified,8.75
83,37,1,chicken burrito,Tomatillo Green Chili Salsa  Rice  Black Beans  Sour Cream  Cheese,8.75,Tomatillo Green Chili Salsa, Rice, Black Beans, Sour Cream, Cheese,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,8.75
84,37,1,steak soft tacos,Tomatillo Red Chili Salsa,9.25,Tomatillo Red Chili Salsa,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,9.25
85,38,1,veggie bowl,Tomatillo-Red Chili Salsa  Hot   Pinto Beans  Black Beans  Rice  Fajita Veggies  Lettuce,8.49,Tomatillo-Red Chili Salsa (Hot), Pinto Beans, Black Beans, Rice, Fajita Veggies, Lettuce,Not Specified,Not Specified,Not Specified,Not Specified,8.49
86,38,1,steak bowl,Tomatillo-Red Chili Salsa  Hot   Pinto Beans  Rice  Fajita Veggies  Cheese  Lettuce,8.99,Tomatillo-Red Chili Salsa (Hot), Pinto Beans, Rice, Fajita Veggies, Cheese, Lettuce,Not Specified,Not Specified,Not Specified,Not Specified,8.99
87,38,1,bottled water,none,1.09,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1.09
88,39,1,carnitas burrito,Fresh Tomato Salsa  Rice  Pinto Beans  Sour Cream  Cheese,9.25,Fresh Tomato Salsa, Rice, Pinto Beans, Sour Cream, Cheese,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,9.25
89,39,1,chips and fresh tomato salsa,none,2.95,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2.95
90,40,1,steak bowl,Fresh Tomato Salsa  Rice  Black Beans  Cheese  Sour Cream  Guacamole,11.75,Fresh Tomato Salsa, Rice, Black Beans, Cheese, Sour Cream, Guacamole,Not Specified,Not Specified,Not Specified,Not Specified,11.75
91,40,1,steak bowl,Fresh Tomato Salsa  Fajita Vegetables  Cheese  Sour Cream  Guacamole,11.75,Fresh Tomato Salsa, Fajita Vegetables, Cheese, Sour Cream, Guacamole,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,11.75
92,40,1,steak crispy tacos,Fresh Tomato Salsa  Sour Cream,9.25,Fresh Tomato Salsa, Sour Cream,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,9.25
93,41,1,carnitas burrito,Roasted Chili Corn Salsa  Sour Cream  Guacamole,11.75,Roasted Chili Corn Salsa, Sour Cream, Guacamole,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,11.75
94,41,1,chips and guacamole,none,4.45,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,4.45
95,42,1,barbacoa bowl,Fresh Tomato Salsa  Fajita Vegetables  Rice  Cheese  Sour Cream,9.25,Fresh Tomato Salsa, Fajita Vegetables, Rice, Cheese, Sour Cream,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,9.25
96,42,1,chips and guacamole,none,4.45,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,4.45
97,43,1,carnitas bowl,Fresh Tomato Salsa  Fajita Vegetables  Rice  Black Beans  Cheese  Guacamole  Lettuce,11.75,Fresh Tomato Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce,Not Specified,Not Specified,Not Specified,11.75
98,43,1,chicken burrito,Tomatillo Red Chili Salsa  Rice  Black Beans  Cheese,8.75,Tomatillo Red Chili Salsa, Rice, Black Beans, Cheese,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,8.75
99,44,1,chicken bowl,Tomatillo Red Chili Salsa  Rice  Fajita Vegetables  Sour Cream  Lettuce,8.75,Tomatillo Red Chili Salsa, Rice, Fajita Vegetables, Sour Cream, Lettuce,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,8.75
100,44,1,chips and guacamole,none,4.45,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,4.45
101,45,1,steak burrito,Tomatillo-Green Chili Salsa  Medium   Rice  Cheese  Sour Cream  Lettuce,8.99,Tomatillo-Green Chili Salsa (Medium), Rice, Cheese, Sour Cream, Lettuce,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,8.99
102,45,1,steak bowl,Tomatillo-Green Chili Salsa  Medium   Rice  Cheese  Sour Cream  Lettuce,8.99,Tomatillo-Green Chili Salsa (Medium), Rice, Cheese, Sour Cream, Lettuce,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,8.99
103,45,1,chips and guacamole,none,3.99,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,3.99
104,46,1,veggie burrito,Fresh Tomato Salsa  Mild   Black Beans  Rice  Fajita Veggies  Sour Cream  Lettuce,8.49,Fresh Tomato Salsa (Mild), Black Beans, Rice, Fajita Veggies, Sour Cream, Lettuce,Not Specified,Not Specified,Not Specified,Not Specified,8.49
105,46,1,nantucket nectar,Pineapple Orange Banana,3.39,Pineapple Orange Banana,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,3.39
106,47,1,steak burrito,Roasted Chili Corn Salsa  Medium   Rice  Black Beans  Fajita Veggies  Sour Cream,8.99,Roasted Chili Corn Salsa (Medium), Rice, Black Beans, Fajita Veggies, Sour Cream,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,8.99
107,47,1,canned soda,Dr  Pepper,1.09,Dr. Pepper,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1.09
108,48,1,steak burrito,Roasted Chili Corn Salsa  Fajita Vegetables  Rice  Cheese  Sour Cream  Lettuce,9.25,Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Cheese, Sour Cream, Lettuce,Not Specified,Not Specified,Not Specified,Not Specified,9.25
109,48,1,chips and guacamole,none,4.45,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,4.45
110,49,1,chicken bowl,Tomatillo Red Chili Salsa  Rice  Black Beans  Cheese  Sour Cream  Lettuce,8.75,Tomatillo Red Chili Salsa, Rice, Black Beans, Cheese, Sour Cream, Lettuce,Not Specified,Not Specified,Not Specified,Not Specified,8.75
111,49,1,chips and tomatillo red chili salsa,none,2.95,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2.95
112,49,1,chips and guacamole,none,4.45,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,4.45
113,50,1,chips and tomatillo-green chili salsa,none,2.39,none,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2.39
114,50,1,chicken burrito,Tomatillo-Green Chili Salsa  Medium   Pinto Beans  Rice  Cheese  Sour Cream,8.49,Tomatillo-Green Chili Salsa (Medium), Pinto Beans, Rice, Cheese, Sour Cream,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,8.49
115,51,1,barbacoa bowl,Tomatillo-Red Chili Salsa  Hot   Tomatillo-Green Chili Salsa  Medium   Rice  Pinto Beans  Fajita Veggies  Cheese  Sour Cream  Lettuce,8.99,Tomatillo-Red Chili Salsa (Hot), Tomatillo-Green Chili Salsa (Medium), Rice, Pinto Beans, Fajita Veggies, Cheese, Sour Cream, Lettuce,Not Specified,Not Specified,8.99
116,51,1,chicken burrito,Tomatillo-Red Chili Salsa  Hot   Tomatillo-Green Chili Salsa  Medium   Rice  Pinto Beans  Cheese  Lettuce,8.49,Tomatillo-Red Chili Salsa (Hot), Tomatillo-Green Chili Salsa (Medium), Rice, Pinto Beans, Cheese, Lettuce,Not Specified,Not Specified,Not Specified,Not Specified,8.49
